fips,srd_code,state,year,annual_unemp_sa
01,1,Alabama,1976,6.691666667
01,1,Alabama,1977,7.125
01,1,Alabama,1978,6.45
01,1,Alabama,1979,7.233333333
01,1,Alabama,1980,8.683333333
01,1,Alabama,1981,10.75833333
01,1,Alabama,1982,13.8
01,1,Alabama,1983,13.86666667
01,1,Alabama,1984,11.38333333
01,1,Alabama,1985,9.575
01,1,Alabama,1986,9.533333333
01,1,Alabama,1987,8.2
01,1,Alabama,1988,7.266666667
01,1,Alabama,1989,6.983333333
01,1,Alabama,1990,6.825
01,1,Alabama,1991,7.266666667
01,1,Alabama,1992,7.533333333
01,1,Alabama,1993,7.25
01,1,Alabama,1994,6.166666667
01,1,Alabama,1995,5.85
01,1,Alabama,1996,5.191666667
01,1,Alabama,1997,4.95
01,1,Alabama,1998,4.458333333
01,1,Alabama,1999,4.733333333
01,1,Alabama,2000,4.641666667
01,1,Alabama,2001,5.15
01,1,Alabama,2002,5.891666667
01,1,Alabama,2003,5.95
01,1,Alabama,2004,5.575
01,1,Alabama,2005,4.458333333
01,1,Alabama,2006,4.008333333
01,1,Alabama,2007,4.066666667
01,1,Alabama,2008,5.916666667
01,1,Alabama,2009,9.733333333
01,1,Alabama,2010,10.375
01,1,Alabama,2011,9.558333333
01,1,Alabama,2012,8.175
01,1,Alabama,2013,7.358333333
01,1,Alabama,2014,6.766666667
01,1,Alabama,2015,6.083333333
01,1,Alabama,2016,5.8
01,1,Alabama,2017,4.508333333
01,1,Alabama,2018,3.925
01,1,Alabama,2019,3.191666667
01,1,Alabama,2020,6.408333333
01,1,Alabama,2021,3.35
01,1,Alabama,2022,2.491666667
01,1,Alabama,2023,2.466666667
01,1,Alabama,2024,3.058333333
01,1,Alabama,2025,3.2
02,2,Alaska,1976,7.591666667
02,2,Alaska,1977,9.825
02,2,Alaska,1978,10.60833333
02,2,Alaska,1979,9.05
02,2,Alaska,1980,9.541666667
02,2,Alaska,1981,9.216666667
02,2,Alaska,1982,10.01666667
02,2,Alaska,1983,10.125
02,2,Alaska,1984,9.9
02,2,Alaska,1985,9.8
02,2,Alaska,1986,11.025
02,2,Alaska,1987,10.15
02,2,Alaska,1988,8.783333333
02,2,Alaska,1989,7.133333333
02,2,Alaska,1990,7.25
02,2,Alaska,1991,8.308333333
